Genome	Organism/Name	Strain	CladeID	BioSample	BioProject	Group	SubGroup	Assembly	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Level
GCA_000007265.1_ASM726v1_genomic.fna	Streptococcus agalactiae 2603V/R	2603V/R	20122	SAMN02604013 	PRJNA330	Terrabacteria group	Firmicutes	GCA_000007265.1 	2.16027	35.6	chromosome:NC_004116.1/AE009948.1	-	1	2279	2127	2002/08/28	2016/04/18	Complete Genome
GCA_000012705.1_ASM1270v1_genomic.fna	Streptococcus agalactiae A909	A909	20122	SAMN02604011 	PRJNA326	Terrabacteria group	Firmicutes	GCA_000012705.1 	2.12784	35.6	chromosome:NC_007432.1/CP000114.1	-	1	2150	2026	2005/09/29	2015/08/12	Complete Genome
GCA_000299135.1_ASM29913v1_genomic.fna	Streptococcus agalactiae GD201008-001	GD201008-001	20122	SAMN02603155 	PRJNA169338	Terrabacteria group	Firmicutes	GCA_000299135.1 	2.06311	35.6	chromosome:NC_018646.1/CP003810.1	-	1	2059	1940	2012/09/24	2015/08/14	Complete Genome
GCA_000302475.2_ASM30247v2_genomic.fna	Streptococcus agalactiae SA20-06	SA20-06	20122	SAMN02603506 	PRJNA174852	Terrabacteria group	Firmicutes	GCA_000302475.2 	1.82089	35.6	chromosome:NC_019048.1/CP003919.1	-	1	1859	1646	2012/11/02	2015/08/14	Complete Genome
GCA_000427035.1_09mas018883_genomic.fna	Streptococcus agalactiae 09mas018883	09mas018883	20122	SAMEA2272272 	PRJEB1693	Terrabacteria group	Firmicutes	GCA_000427035.1 	2.13869	35.5	chromosome I:NC_021485.1/HF952104.1	-	1	2148	2030	2013/05/28	2015/08/18	Complete Genome
GCA_000427075.1_ILRI005_genomic.fna	Streptococcus agalactiae ILRI005	ILRI005	20122	SAMEA2272371 	PRJEB1694	Terrabacteria group	Firmicutes	GCA_000427075.1 	2.10976	35.4	chromosome I:NC_021486.1/HF952105.1	-	1	2181	2004	2013/05/28	2015/07/31	Complete Genome
GCA_000689235.1_GBCO_p1_genomic.fna	Streptococcus agalactiae COH1	COH1	20122	SAMEA3139000 	PRJEB5232	Terrabacteria group	Firmicutes	GCA_000689235.1 	2.06507	35.4	chromosome I:NZ_HG939456.1/HG939456.1	-	1	2067	1929	2014/04/06	2015/08/20	Complete Genome
GCA_000730215.2_ASM73021v2_genomic.fna	Streptococcus agalactiae	NGBS061	20122	SAMN02741687 	PRJNA246096	Terrabacteria group	Firmicutes	GCA_000730215.2 	2.22121	35.5	chromosome:NZ_CP007631.1/CP007631.2	-	1	2246	2109	2014/07/17	2015/08/16	Complete Genome
GCA_000730255.1_ASM73025v1_genomic.fna	Streptococcus agalactiae	NGBS572	20122	SAMN02741688 	PRJNA246096	Terrabacteria group	Firmicutes	GCA_000730255.1 	2.06143	35.5	chromosome:NZ_CP007632.1/CP007632.1	-	1	2066	1937	2014/07/17	2015/08/16	Complete Genome
GCA_000782855.1_ASM78285v1_genomic.fna	Streptococcus agalactiae CNCTC 10/84	CNCTC 10/84	20122	SAMN03178022 	PRJNA229124	Terrabacteria group	Firmicutes	GCA_000782855.1 	2.01384	35.4	chromosome:NZ_CP006910.1/CP006910.1	-	1	2031	1903	2014/11/14	2015/08/17	Complete Genome
GCA_000831105.1_ASM83110v1_genomic.fna	Streptococcus agalactiae	GBS6	20122	-	PRJNA244773	Terrabacteria group	Firmicutes	GCA_000831105.1 	2.23148	35.8	chromosome:NZ_CP007572.1/CP007572.1	-	1	2222	2079	2014/08/21	2015/08/19	Complete Genome
GCA_000831125.1_ASM83112v1_genomic.fna	Streptococcus agalactiae	GBS2-NM	20122	-	PRJNA243854	Terrabacteria group	Firmicutes	GCA_000831125.1 	2.2143	35.9	chromosome:NZ_CP007571.1/CP007571.1	-	1	2198	2057	2014/08/21	2015/08/19	Complete Genome
GCA_000831145.1_ASM83114v1_genomic.fna	Streptococcus agalactiae	GBS1-NY	20122	SAMN02720890 	PRJNA243853	Terrabacteria group	Firmicutes	GCA_000831145.1 	2.24371	35.9	chromosome:NZ_CP007570.1/CP007570.1	-	1	2223	2083	2014/08/21	2015/08/19	Complete Genome
GCA_001026925.1_ASM102692v1_genomic.fna	Streptococcus agalactiae	SS1	20122	SAMN03329971 	PRJNA274384	Terrabacteria group	Firmicutes	GCA_001026925.1 	2.09207	35.5	chromosome:NZ_CP010867.1/CP010867.1	-	1	2100	1977	2015/06/03	2015/08/21	Complete Genome
