gene	PC	NDC
GCA-000427055-protein583.fasta	1	29
GCA-000831105-protein663.fasta	1	26
GCA-001190885-protein3128.fasta	1	31
GCA-000831105-protein1042.fasta	1	24
GCA-001552035-protein3094.fasta	1	28
GCA-000196055-protein1368.fasta	1	31
GCA-000730215-protein4125.fasta	1	28
GCA-001266635-protein1184.fasta	1	30
GCA-000730215-protein3956.fasta	2	29
GCA-000427055-protein1391.fasta	2	30
GCA-000689235-protein1770.fasta	2	28
GCA-001190885-protein3056.fasta	4	26
GCA-001266635-protein1152.fasta	4	28
GCA-001190885-protein3119.fasta	4	28
GCA-000196055-protein1347.fasta	4	28
GCA-000730215-protein3292.fasta	4	26
GCA-001266635-protein1144.fasta	4	28
GCA-000427075-protein4068.fasta	5	26
GCA-000427035-protein3812.fasta	5	19
GCA-000007265-protein1994.fasta	5	24
GCA-000730215-protein4031.fasta	5	16
GCA-000782855-protein2959.fasta	6	25
GCA-000427035-protein3025.fasta	6	26
GCA-000427035-protein3226.fasta	14	18
GCA-000782855-protein3341.fasta	14	17
GCA-000831105-protein244.fasta	21	11
GCA-000689235-protein215.fasta	21	10
