Genome	EXC	INF	LNF	PLOT	NIPH	ALM	ASM
GCA_000007265.1_ASM726v1_genomic.fna	744	1132	1213	0	20	2	18
GCA_000012705.1_ASM1270v1_genomic.fna	1113	728	1251	0	14	3	20
GCA_000196055.1_ASM19605v1_genomic.fna	879	948	1229	0	58	4	11
GCA_000299135.1_ASM29913v1_genomic.fna	1639	128	1334	0	10	1	17
GCA_000302475.2_ASM30247v2_genomic.fna	223	1328	1516	0	7	2	53
GCA_000427035.1_09mas018883_genomic.fna	1193	676	1231	0	14	3	12
GCA_000427055.1_ILRI112_genomic.fna	300	1359	1396	0	11	1	62
GCA_000427075.1_ILRI005_genomic.fna	443	1363	1284	0	17	1	21
GCA_000599965.1_ASM59996v1_genomic.fna	509	1009	1546	0	5	1	59
GCA_000636115.1_ASM63611v1_genomic.fna	1515	0	1549	0	5	1	59
GCA_000689235.1_GBCO_p1_genomic.fna	680	1086	1331	0	11	2	19
GCA_000730215.2_ASM73021v2_genomic.fna	1487	461	1154	0	11	2	14
GCA_000730255.1_ASM73025v1_genomic.fna	1423	375	1298	0	11	2	20
GCA_000782855.1_ASM78285v1_genomic.fna	714	1087	1304	0	9	3	12
GCA_000831105.1_ASM83110v1_genomic.fna	1048	785	1253	0	21	7	15
GCA_000831125.1_ASM83112v1_genomic.fna	1753	85	1252	0	21	6	12
GCA_000831145.1_ASM83114v1_genomic.fna	1803	51	1235	0	20	6	14
GCA_000967445.1_ASM96744v1_genomic.fna	1506	18	1542	0	5	1	57
GCA_001026925.1_ASM102692v1_genomic.fna	1771	57	1274	0	11	1	15
GCA_001190805.1_ASM119080v1_genomic.fna	1768	3	1330	0	9	1	18
GCA_001190825.1_ASM119082v1_genomic.fna	1732	27	1341	0	9	1	19
GCA_001190845.1_ASM119084v1_genomic.fna	1762	6	1333	0	9	1	18
GCA_001190865.1_ASM119086v1_genomic.fna	1483	38	1544	0	6	1	57
GCA_001190885.1_ASM119088v1_genomic.fna	1554	280	1259	0	12	2	22
GCA_001266635.1_ASM126663v1_genomic.fna	511	1269	1326	0	10	1	12
GCA_001275545.2_ASM127554v2_genomic.fna	1695	146	1252	0	19	2	15
GCA_001448985.1_ASM144898v1_genomic.fna	1808	73	1215	0	15	3	15
GCA_001552035.1_ASM155203v1_genomic.fna	1690	58	1346	0	10	2	23
GCA_001592385.1_ASM159238v1_genomic.fna	1824	19	1264	0	6	2	14
GCA_001592425.1_ASM159242v1_genomic.fna	1781	4	1323	0	6	2	13
GCA_001655175.1_ASM165517v1_genomic.fna	1444	88	1531	0	6	2	58
GCA_001683515.1_ASM168351v1_genomic.fna	1831	10	1266	0	6	2	14
