gene	PC	NDC
GCA-000007265-protein1994.fasta	1	28
GCA-000196055-protein1347.fasta	1	29
GCA-001190885-protein3116.fasta	1	26
GCA-000831105-protein1042.fasta	1	24
GCA-001552035-protein3100.fasta	1	28
GCA-001266635-protein1152.fasta	1	30
GCA-000730215-protein4031.fasta	1	16
GCA-000427055-protein637.fasta	1	30
GCA-000730215-protein3956.fasta	2	29
GCA-000689235-protein1770.fasta	2	28
GCA-000012705-protein3361.fasta	3	15
GCA-000730215-protein3292.fasta	3	27
GCA-001190885-protein3119.fasta	3	28
GCA-001266635-protein1144.fasta	3	28
GCA-000427035-protein3025.fasta	3	26
GCA-000196055-protein2071.fasta	3	23
GCA-000782855-protein2959.fasta	3	28
GCA-001190885-protein3056.fasta	3	27
GCA-000427035-protein3812.fasta	5	19
GCA-000427075-protein4068.fasta	5	26
GCA-000831105-protein244.fasta	6	12
GCA-000689235-protein215.fasta	6	24
GCA-000007265-protein1917.fasta	29	0
GCA-001592385-protein1864.fasta	29	0
