Genome	EXC	INF	LNF	PLOT	NIPH	ALM	ASM
GCA_000167715.1_ASM16771v1_genomic.fna	726	233	246	43	8	0	11
GCA_000167735.1_ASM16773v1_genomic.fna	338	787	99	27	8	1	7
GCA_000167755.1_ASM16775v1_genomic.fna	569	598	80	17	1	0	2
GCA_000167775.1_ASM16777v1_genomic.fna	330	742	145	23	21	0	6
GCA_000167795.1_ASM16779v1_genomic.fna	682	399	151	25	1	0	9
GCA_000186445.1_ASM18644v1_genomic.fna	215	1018	24	0	0	3	7
GCA_000221325.2_ASM22132v2_genomic.fna	644	578	32	0	0	2	11
GCA_000264975.1_ASM26497v1_genomic.fna	1031	235	1	0	0	0	0
GCA_000287955.1_ASM28795v1_genomic.fna	1205	60	2	0	0	0	0
GCA_000287975.1_ASM28797v1_genomic.fna	689	395	157	24	0	0	2
GCA_000287995.1_ASM28799v1_genomic.fna	838	410	9	2	0	0	8
GCA_000288015.1_ASM28801v1_genomic.fna	1251	4	8	1	0	0	3
GCA_000288035.1_ASM28803v1_genomic.fna	1035	200	20	1	0	3	8
GCA_000288055.1_ASM28805v1_genomic.fna	835	384	38	1	0	1	8
GCA_000288075.1_ASM28807v1_genomic.fna	1131	130	3	1	0	1	1
GCA_000288095.1_ASM28809v1_genomic.fna	1242	23	2	0	0	0	0
GCA_000288115.1_ASM28811v1_genomic.fna	1146	115	4	0	0	0	2
GCA_000288135.1_ASM28813v1_genomic.fna	1242	25	0	0	0	0	0
GCA_000288155.1_ASM28815v1_genomic.fna	1179	85	1	1	0	0	1
GCA_000288175.1_ASM28817v1_genomic.fna	1260	7	0	0	0	0	0
GCA_000288195.1_ASM28819v1_genomic.fna	1166	98	1	0	0	0	2
GCA_000288215.1_ASM28821v1_genomic.fna	1170	93	3	0	0	0	1
GCA_000288235.1_ASM28823v1_genomic.fna	1243	21	1	0	0	0	2
GCA_000288255.1_ASM28825v1_genomic.fna	1016	243	5	0	0	1	2
GCA_000288275.1_ASM28827v1_genomic.fna	1206	55	2	0	0	0	4
GCA_000288295.1_ASM28829v1_genomic.fna	1116	148	3	0	0	0	0
GCA_000288315.1_ASM28831v1_genomic.fna	1173	91	2	0	0	0	1
GCA_000288335.1_ASM28833v1_genomic.fna	1241	20	4	0	0	0	2
GCA_000288355.1_ASM28835v1_genomic.fna	1105	158	2	0	1	0	1
GCA_000288375.1_ASM28837v1_genomic.fna	1211	53	2	0	0	0	1
GCA_000288395.1_ASM28839v1_genomic.fna	1162	102	3	0	0	0	0
GCA_000288415.1_ASM28841v1_genomic.fna	1208	53	3	0	0	0	3
GCA_000288435.1_ASM28843v1_genomic.fna	1132	130	2	0	0	0	3
GCA_000288455.1_ASM28845v1_genomic.fna	1169	95	2	0	0	0	1
GCA_000288475.1_ASM28847v1_genomic.fna	1235	25	5	0	0	0	2
GCA_000288495.1_ASM28849v1_genomic.fna	1243	24	0	0	0	0	0
GCA_000288515.1_ASM28851v1_genomic.fna	1262	0	3	0	0	0	2
GCA_000288535.1_ASM28853v1_genomic.fna	1237	25	2	0	0	0	3
GCA_000288555.1_ASM28855v1_genomic.fna	1253	12	2	0	0	0	0
GCA_000288575.1_ASM28857v1_genomic.fna	1102	55	74	35	0	0	1
GCA_000288595.1_ASM28859v1_genomic.fna	1241	24	1	0	0	0	1
GCA_000288615.1_ASM28861v1_genomic.fna	1164	20	59	22	0	1	1
GCA_000288635.1_ASM28863v1_genomic.fna	896	370	1	0	0	0	0
GCA_000288655.1_ASM28865v1_genomic.fna	1244	20	2	0	0	0	1
GCA_000288675.1_ASM28867v1_genomic.fna	1234	28	1	2	0	0	2
GCA_000288695.1_ASM28869v1_genomic.fna	1237	26	3	0	0	0	1
GCA_000288715.1_ASM28871v1_genomic.fna	433	831	1	0	0	0	2
GCA_000288735.1_ASM28873v1_genomic.fna	1189	71	4	0	0	0	3
GCA_000288755.1_ASM28875v1_genomic.fna	1238	26	2	0	0	0	1
GCA_000288775.1_ASM28877v1_genomic.fna	1205	57	2	0	0	0	3
GCA_000288795.1_ASM28879v1_genomic.fna	1230	32	1	1	1	0	2
GCA_000288815.1_ASM28881v1_genomic.fna	1219	23	12	1	1	0	11
GCA_000288835.1_ASM28883v1_genomic.fna	1093	57	90	0	0	2	25
GCA_000288855.1_ASM28885v1_genomic.fna	1225	40	2	0	0	0	0
GCA_000288875.1_ASM28887v1_genomic.fna	1228	19	17	3	0	0	0
GCA_000288895.1_ASM28889v1_genomic.fna	1137	128	2	0	0	0	0
GCA_000288915.1_ASM28891v1_genomic.fna	1250	14	1	1	0	0	1
GCA_000288935.1_ASM28893v1_genomic.fna	1183	81	1	0	0	0	2
GCA_000288955.1_ASM28895v1_genomic.fna	1171	79	11	2	0	0	4
GCA_000288975.1_ASM28897v1_genomic.fna	1192	16	45	13	1	0	0
GCA_000288995.1_ASM28899v1_genomic.fna	1244	21	0	1	0	0	1
GCA_000289015.1_ASM28901v1_genomic.fna	1265	0	0	1	0	0	1
GCA_000289035.1_ASM28903v1_genomic.fna	1203	60	2	2	0	0	0
GCA_000289055.1_ASM28905v1_genomic.fna	1252	12	2	1	0	0	0
GCA_000289075.1_ASM28907v1_genomic.fna	1211	50	1	1	0	0	4
GCA_000289095.1_ASM28909v1_genomic.fna	1179	51	30	1	0	0	6
GCA_000289115.1_ASM28911v1_genomic.fna	142	1084	32	3	0	0	6
GCA_000289135.1_ASM28913v1_genomic.fna	1163	66	26	0	0	0	12
GCA_000289155.1_ASM28915v1_genomic.fna	1242	22	1	0	0	0	2
GCA_000289175.1_ASM28917v1_genomic.fna	1264	0	2	0	0	0	1
GCA_000289195.1_ASM28919v1_genomic.fna	1260	2	4	0	0	0	1
GCA_000289215.1_ASM28921v1_genomic.fna	1263	2	0	1	0	0	1
GCA_000289235.1_ASM28923v1_genomic.fna	1258	4	3	1	0	0	1
GCA_000289255.1_ASM28925v1_genomic.fna	1265	1	0	0	0	0	1
