gene	PC	NDC
GCA-000427055-protein637-647655-648312.fasta	1	30
GCA-000007265-protein1994-2043156-2045049.fasta	1	28
GCA-000831105-protein1042-1107978-1108302.fasta	1	24
GCA-000730215-protein4031-2088740-2091293.fasta	1	16
GCA-001190885-protein3116-1321983-1322643.fasta	1	26
GCA-000196055-protein1347-1393090-1393321.fasta	1	29
GCA-001552035-protein3100-1059927-1060335.fasta	1	28
GCA-001266635-protein1152-1203989-1204217.fasta	1	30
GCA-000730215-protein3956-2020758-2021535.fasta	2	29
GCA-000689235-protein1770-1849759-1850551.fasta	2	28
GCA-000730215-protein3292-1348007-1349729.fasta	3	27
GCA-001266635-protein1144-1196906-1197272.fasta	3	28
GCA-000782855-protein2959-1014520-1014742.fasta	3	28
GCA-000196055-protein2071-2141602-2141923.fasta	3	23
GCA-001190885-protein3056-1262003-1262369.fasta	3	27
GCA-000427035-protein3025-1295196-1295421.fasta	3	26
GCA-001190885-protein3119-1332108-1333815.fasta	3	28
GCA-000012705-protein3361-1312895-1313210.fasta	3	15
GCA-000427035-protein3812-2088716-2088989.fasta	5	19
GCA-000427075-protein4068-2062827-2063109.fasta	5	26
GCA-000689235-protein215-232905-234060.fasta	6	24
GCA-000831105-protein244-262338-263493.fasta	6	12
GCA-000007265-protein1917-1964053-1964260.fasta	29	0
GCA-001592385-protein1864-1895440-1895647.fasta	29	0
