Genome	EXC	INF	LNF	PLOT	NIPH	ALM	ASM
GCA_000007265.1_ASM726v1_genomic.fna	744	1132	1213	0	20	2	18
GCA_000012705.1_ASM1270v1_genomic.fna	1113	729	1250	0	14	3	20
GCA_000196055.1_ASM19605v1_genomic.fna	880	949	1227	0	58	4	11
GCA_000299135.1_ASM29913v1_genomic.fna	1639	130	1330	0	10	2	18
GCA_000302475.2_ASM30247v2_genomic.fna	223	1328	1513	0	7	2	56
GCA_000427035.1_09mas018883_genomic.fna	1193	678	1228	0	14	4	12
GCA_000427055.1_ILRI112_genomic.fna	300	1361	1394	0	11	1	62
GCA_000427075.1_ILRI005_genomic.fna	444	1367	1279	0	16	1	22
GCA_000599965.1_ASM59996v1_genomic.fna	509	1009	1544	0	5	1	61
GCA_000636115.1_ASM63611v1_genomic.fna	1515	0	1547	0	5	1	61
GCA_000689235.1_GBCO_p1_genomic.fna	680	1085	1331	0	12	2	19
GCA_000730215.2_ASM73021v2_genomic.fna	1487	463	1148	0	11	3	17
GCA_000730255.1_ASM73025v1_genomic.fna	1423	377	1296	0	10	2	21
GCA_000782855.1_ASM78285v1_genomic.fna	714	1088	1303	0	9	3	12
GCA_000831105.1_ASM83110v1_genomic.fna	1049	788	1249	0	20	8	15
GCA_000831125.1_ASM83112v1_genomic.fna	1754	87	1247	0	22	7	12
GCA_000831145.1_ASM83114v1_genomic.fna	1804	52	1232	0	21	7	13
GCA_000967445.1_ASM96744v1_genomic.fna	1506	18	1540	0	5	1	59
GCA_001026925.1_ASM102692v1_genomic.fna	1771	59	1269	0	11	3	16
GCA_001190805.1_ASM119080v1_genomic.fna	1769	6	1325	0	9	2	18
GCA_001190825.1_ASM119082v1_genomic.fna	1735	28	1336	0	9	2	19
GCA_001190845.1_ASM119084v1_genomic.fna	1764	7	1329	0	9	2	18
GCA_001190865.1_ASM119086v1_genomic.fna	1483	38	1542	0	6	1	59
GCA_001190885.1_ASM119088v1_genomic.fna	1556	282	1254	0	12	3	22
GCA_001266635.1_ASM126663v1_genomic.fna	513	1273	1316	0	10	3	14
GCA_001275545.2_ASM127554v2_genomic.fna	1697	148	1246	0	19	4	15
GCA_001448985.1_ASM144898v1_genomic.fna	1809	76	1211	0	15	4	14
GCA_001552035.1_ASM155203v1_genomic.fna	1689	59	1345	0	11	2	23
GCA_001592385.1_ASM159238v1_genomic.fna	1828	19	1258	0	6	4	14
GCA_001592425.1_ASM159242v1_genomic.fna	1785	4	1317	0	6	4	13
GCA_001655175.1_ASM165517v1_genomic.fna	1444	88	1528	0	6	2	61
GCA_001683515.1_ASM168351v1_genomic.fna	1835	10	1260	0	6	4	14
